unit,scope,fold,heldGroup,threshold,selected,baselineEnter,enterCount,enterPerSession,uniqueSymbols,strict30mCount,unknownCount,coverageRate,entrySymbolHHI,baselineMeanD30,meanD30,meanD30ImprovementPct,medianD30,D30p90,D30p95,D30ES95,MAEmedian,MAEp05,MAEworst,MFEmean,MFEmedian,MAEleMinus2,MAEleMinus5,MAEleMinus10,precision1,precision1Hits,anchorPreservation1,baselineWinners1,falseRiskRejected1,precision2,precision2Hits,anchorPreservation2,baselineWinners2,falseRiskRejected2,precision3,precision3Hits,anchorPreservation3,baselineWinners3,falseRiskRejected3,precision5,precision5Hits,anchorPreservation5,baselineWinners5,falseRiskRejected5,correctRiskRejections,falseRiskAcceptances,goodAcceptances,censoredUnknown,throughput,failedOrUnknown
symbol-2-fold-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,2,1,False,22,0,0.0,0,0,0,,,2.3453568203789397,,,,,,,,,,,,0,0,0,,0,0.0,11,11,,0,0.0,11,11,,0,0.0,6,6,,0,0.0,4,4,2,0,0,8,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
symbol-2-fold-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,2,2,False,22,0,0.0,0,0,0,,,2.3453568203789397,,,,,,,,,,,,0,0,0,,0,0.0,11,11,,0,0.0,11,11,,0,0.0,6,6,,0,0.0,4,4,2,0,0,8,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
symbol-2-fold-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,2,5,False,22,22,2.75,13,14,8,0.6363636363636364,0.1446280991735537,2.3453568203789397,2.3453568203789397,0.0,1.7130757117846729,5.058452174872273,6.913760086419955,9.345794392523366,-1.7130757117846729,-6.9137600864199555,-9.345794392523366,5.315248520645173,2.6439604825064134,6,2,0,0.7857142857142857,11,1.0,11,0,0.7857142857142857,11,1.0,11,0,0.42857142857142855,6,1.0,6,0,0.2857142857142857,4,1.0,4,0,0,2,11,8,1.0,adverseMeanRatioMax:FAIL
symbol-2-fold-2,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,2,2,10,False,22,22,2.75,13,14,8,0.6363636363636364,0.1446280991735537,2.3453568203789397,2.3453568203789397,0.0,1.7130757117846729,5.058452174872273,6.913760086419955,9.345794392523366,-1.7130757117846729,-6.9137600864199555,-9.345794392523366,5.315248520645173,2.6439604825064134,6,2,0,0.7857142857142857,11,1.0,11,0,0.7857142857142857,11,1.0,11,0,0.42857142857142855,6,1.0,6,0,0.2857142857142857,4,1.0,4,0,0,2,11,8,1.0,adverseMeanRatioMax:FAIL
symbol-2-fold-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,2,1,False,51,0,0.0,0,0,0,,,2.363720446801137,,,,,,,,,,,,0,0,0,,0,0.0,28,28,,0,0.0,22,22,,0,0.0,16,16,,0,0.0,12,12,6,0,0,18,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
symbol-2-fold-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,2,2,False,51,0,0.0,0,0,0,,,2.363720446801137,,,,,,,,,,,,0,0,0,,0,0.0,28,28,,0,0.0,22,22,,0,0.0,16,16,,0,0.0,12,12,6,0,0,18,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
symbol-2-fold-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,2,5,False,51,51,4.25,39,33,18,0.6470588235294118,0.05036524413687044,2.363720446801137,2.363720446801137,0.0,1.2961116650049842,5.901388098261598,9.336377052204387,10.786529393711113,-1.2961116650049842,-9.33637705220439,-11.316648531011975,5.335293591430604,2.564102564102555,11,6,2,0.8484848484848485,28,1.0,28,0,0.6666666666666666,22,1.0,22,0,0.48484848484848486,16,1.0,16,0,0.36363636363636365,12,1.0,12,0,0,6,24,18,1.0,adverseMeanRatioMax:FAIL
symbol-2-fold-3,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,3,2,10,False,51,51,4.25,39,33,18,0.6470588235294118,0.05036524413687044,2.363720446801137,2.363720446801137,0.0,1.2961116650049842,5.901388098261598,9.336377052204387,10.786529393711113,-1.2961116650049842,-9.33637705220439,-11.316648531011975,5.335293591430604,2.564102564102555,11,6,2,0.8484848484848485,28,1.0,28,0,0.6666666666666666,22,1.0,22,0,0.48484848484848486,16,1.0,16,0,0.36363636363636365,12,1.0,12,0,0,6,24,18,1.0,adverseMeanRatioMax:FAIL
symbol-2-fold-4,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,4,2,1,False,57,0,0.0,0,0,0,,,1.8136326242107337,,,,,,,,,,,,0,0,0,,0,0.0,34,34,,0,0.0,31,31,,0,0.0,22,22,,0,0.0,9,9,2,0,0,17,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
symbol-2-fold-4,INNER_CALIBRATION_ONLY_NOT_OUTER_OOF,4,2,2,False,57,0,0.0,0,0,0,,,1.8136326242107337,,,,,,,,,,,,0,0,0,,0,0.0,34,34,,0,0.0,31,31,,0,0.0,22,22,,0,0.0,9,9,2,0,0,17,0.0,precision1RatioMin:INCONCLUSIVE;precision2RatioMin:INCONCLUSIVE;winnerRetention3Min:FAIL;winnerRetention5Min:FAIL;adverseMeanRatioMax:INCONCLUSIVE;adverseES95RatioMax:INCONCLUSIVE;throughputRatioMin:FAIL;absoluteStrictLabelCoverageGapMax:INCONCLUSIVE
