scope,fold,heldGroup,threshold,selectedThreshold,candidateRows,sessions,enterCount,enterRate,enterPerSession,uniqueSymbols,strict30mCount,coverageRate,baselineEnterCount,baselineMeanD30,meanD30,meanD30ImprovementPct,ES95D30,MAEMedian,MAEP05,MAEWorst,MFEMean,MFEMedian,precision1_hits,precision1_n,precision1_rate,preservation1_anchors,preservation1_hits,preservation1_unknownNumerators,preservation1_rate,precision2_hits,precision2_n,precision2_rate,preservation2_anchors,preservation2_hits,preservation2_unknownNumerators,preservation2_rate,precision3_hits,precision3_n,precision3_rate,preservation3_anchors,preservation3_hits,preservation3_unknownNumerators,preservation3_rate,precision5_hits,precision5_n,precision5_rate,preservation5_anchors,preservation5_hits,preservation5_unknownNumerators,preservation5_rate,MAE_minus2_count,MAE_minus2_rate,MAE_minus5_count,MAE_minus5_rate,MAE_minus10_count,MAE_minus10_rate,failedGates
SYMBOL_DISJOINT_INNER_CALIBRATION,1,4,2,,155,4,104,0.6709677419354839,26.0,74,46,0.4423076923076923,9,1.3869041863197002,1.2937191601149753,6.7189231328229955,5.991879895528173,-0.6976249125688061,-3.620370179015073,-9.972299168975074,2.0571742399572472,1.0780298837852809,24,46,0.5217391304347826,26,23,0,0.8846153846153846,17,46,0.3695652173913043,19,16,0,0.8421052631578947,9,46,0.1956521739130435,10,8,0,0.8,3,46,0.06521739130434782,3,2,0,0.6666666666666666,9,0.1956521739130435,1,0.021739130434782608,0,0.0,adverseMeanRatioMax:FAIL;adverseES95RatioMax:FAIL;precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,1,4,5,,155,4,107,0.6903225806451613,26.75,75,47,0.4392523364485981,9,1.3869041863197002,1.3703378024162074,1.1944865454226905,6.74782160239555,-0.707964601769917,-3.605089979909336,-9.972299168975074,2.1439787425682924,1.1111111111111072,26,47,0.5531914893617021,26,26,0,1.0,19,47,0.40425531914893614,19,19,0,1.0,10,47,0.2127659574468085,10,10,0,1.0,3,47,0.06382978723404255,3,3,0,1.0,10,0.2127659574468085,2,0.0425531914893617,0,0.0,adverseMeanRatioMax:FAIL;adverseES95RatioMax:FAIL;precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,1,4,10,,155,4,107,0.6903225806451613,26.75,75,47,0.4392523364485981,9,1.3869041863197002,1.3703378024162074,1.1944865454226905,6.74782160239555,-0.707964601769917,-3.605089979909336,-9.972299168975074,2.1439787425682924,1.1111111111111072,26,47,0.5531914893617021,26,26,0,1.0,19,47,0.40425531914893614,19,19,0,1.0,10,47,0.2127659574468085,10,10,0,1.0,3,47,0.06382978723404255,3,3,0,1.0,10,0.2127659574468085,2,0.0425531914893617,0,0.0,adverseMeanRatioMax:FAIL;adverseES95RatioMax:FAIL;precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,2,4,1,,334,8,6,0.017964071856287425,0.75,5,3,0.5,22,2.1000571380881192,0.9425972732476806,55.1156368009198,1.4423076923076872,-1.2036108324974926,-1.4184380063266677,-1.4423076923076872,0.576904961548356,0.48076923076922906,0,3,0.0,69,0,0,0.0,0,3,0.0,39,0,0,0.0,0,3,0.0,26,0,0,0.0,0,3,0.0,11,0,0,0.0,0,0.0,0,0.0,0,0.0,throughputRatioMin:FAIL;preservation3RatioMin:FAIL;preservation5RatioMin:FAIL;precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,2,4,2,,334,8,248,0.7425149700598802,31.0,169,105,0.42338709677419356,22,2.1000571380881192,1.404788960123074,33.10710767603273,5.258037530187734,-1.0526315789473717,-4.070101293152947,-6.756756756756754,2.3208648107493306,1.388888888888884,68,105,0.6476190476190476,69,68,0,0.9855072463768116,38,105,0.3619047619047619,39,38,0,0.9743589743589743,25,105,0.23809523809523808,26,25,0,0.9615384615384616,10,105,0.09523809523809523,11,10,0,0.9090909090909091,29,0.2761904761904762,3,0.02857142857142857,0,0.0,precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,2,4,5,,334,8,250,0.7485029940119761,31.25,169,106,0.424,22,2.1000571380881192,1.4703264096241309,29.98636165858286,6.13693689726742,-1.0911195944677432,-4.384347303346145,-9.345794392523366,2.4261264105373224,1.4019916142557598,69,106,0.6509433962264151,69,69,0,1.0,39,106,0.36792452830188677,39,39,0,1.0,26,106,0.24528301886792453,26,26,0,1.0,11,106,0.10377358490566038,11,11,0,1.0,30,0.2830188679245283,4,0.03773584905660377,0,0.0,precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,2,4,10,,334,8,250,0.7485029940119761,31.25,169,106,0.424,22,2.1000571380881192,1.4703264096241309,29.98636165858286,6.13693689726742,-1.0911195944677432,-4.384347303346145,-9.345794392523366,2.4261264105373224,1.4019916142557598,69,106,0.6509433962264151,69,69,0,1.0,39,106,0.36792452830188677,39,39,0,1.0,26,106,0.24528301886792453,26,26,0,1.0,11,106,0.10377358490566038,11,11,0,1.0,30,0.2830188679245283,4,0.03773584905660377,0,0.0,precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,3,4,1,,481,12,5,0.010395010395010396,0.4166666666666667,5,4,0.8,53,2.4761091417015124,1.7914386634145962,27.65106217476464,2.7027027027026973,-1.5986145830727827,-2.5669283285177285,-2.7027027027026973,0.2221259785682883,0.21097046413501852,0,4,0.0,125,0,0,0.0,0,4,0.0,75,0,0,0.0,0,4,0.0,54,0,0,0.0,0,4,0.0,29,0,0,0.0,1,0.25,0,0.0,0,0.0,throughputRatioMin:FAIL;preservation3RatioMin:FAIL;preservation5RatioMin:FAIL;precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,3,4,2,,481,12,357,0.7422037422037422,29.75,216,175,0.49019607843137253,53,2.4761091417015124,1.9309713565170918,22.0159029343035,8.674715066509657,-1.1473962930273585,-6.516129032258068,-11.316648531011975,2.8825205099745905,1.6883116883116944,120,175,0.6857142857142857,125,120,0,0.96,73,175,0.41714285714285715,75,73,0,0.9733333333333334,53,175,0.3028571428571429,54,53,0,0.9814814814814815,29,175,0.1657142857142857,29,29,0,1.0,65,0.37142857142857144,17,0.09714285714285714,2,0.011428571428571429,precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,3,4,5,,481,12,363,0.7546777546777547,30.25,219,180,0.49586776859504134,53,2.4761091417015124,1.9311165181317518,22.010040445763913,8.674715066509657,-1.1398329895399295,-6.4623655913978535,-11.316648531011975,2.8591333908915826,1.6875293381317547,125,180,0.6944444444444444,125,125,0,1.0,75,180,0.4166666666666667,75,75,0,1.0,54,180,0.3,54,54,0,1.0,29,180,0.16111111111111112,29,29,0,1.0,66,0.36666666666666664,18,0.1,2,0.011111111111111112,precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,3,4,10,,481,12,363,0.7546777546777547,30.25,219,180,0.49586776859504134,53,2.4761091417015124,1.9311165181317518,22.010040445763913,8.674715066509657,-1.1398329895399295,-6.4623655913978535,-11.316648531011975,2.8591333908915826,1.6875293381317547,125,180,0.6944444444444444,125,125,0,1.0,75,180,0.4166666666666667,75,75,0,1.0,54,180,0.3,54,54,0,1.0,29,180,0.16111111111111112,29,29,0,1.0,66,0.36666666666666664,18,0.1,2,0.011111111111111112,precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,4,4,1,,646,16,1,0.0015479876160990713,0.0625,1,1,1.0,56,1.7635076650777672,12.857142857142856,-629.0664572515981,12.857142857142856,-12.857142857142856,-12.857142857142856,-12.857142857142856,5.714285714285716,5.714285714285716,1,1,1.0,149,1,0,0.006711409395973154,1,1,1.0,95,1,0,0.010526315789473684,1,1,1.0,68,1,0,0.014705882352941176,1,1,1.0,34,1,0,0.029411764705882353,1,1.0,1,1.0,1,1.0,adverseMeanRatioMax:FAIL;adverseES95RatioMax:FAIL;throughputRatioMin:FAIL;preservation3RatioMin:FAIL;preservation5RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,4,4,2,,646,16,438,0.6780185758513931,27.375,210,224,0.5114155251141552,56,1.7635076650777672,1.6014892554370062,9.187281283158832,9.806390934703753,-0.839122000062581,-5.3528784648187635,-29.670329670329664,2.4885707468060585,1.7308515190415097,150,224,0.6696428571428571,149,146,0,0.9798657718120806,95,224,0.42410714285714285,95,92,0,0.968421052631579,69,224,0.3080357142857143,68,66,0,0.9705882352941176,34,224,0.15178571428571427,34,32,0,0.9411764705882353,66,0.29464285714285715,14,0.0625,3,0.013392857142857142,adverseMeanRatioMax:FAIL;adverseES95RatioMax:FAIL;precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,4,4,5,,646,16,438,0.6780185758513931,27.375,210,222,0.5068493150684932,56,1.7635076650777672,1.6198598622329672,8.145572922047117,9.806390934703753,-0.8659469185784974,-5.36638237384506,-29.670329670329664,2.4884408078261804,1.7308515190415097,149,222,0.6711711711711712,149,149,0,1.0,95,222,0.42792792792792794,95,95,0,1.0,68,222,0.3063063063063063,68,68,0,1.0,34,222,0.15315315315315314,34,34,0,1.0,67,0.30180180180180183,14,0.06306306306306306,3,0.013513513513513514,adverseMeanRatioMax:FAIL;adverseES95RatioMax:FAIL;precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
SYMBOL_DISJOINT_INNER_CALIBRATION,4,4,10,,646,16,438,0.6780185758513931,27.375,210,222,0.5068493150684932,56,1.7635076650777672,1.6198598622329672,8.145572922047117,9.806390934703753,-0.8659469185784974,-5.36638237384506,-29.670329670329664,2.4884408078261804,1.7308515190415097,149,222,0.6711711711711712,149,149,0,1.0,95,222,0.42792792792792794,95,95,0,1.0,68,222,0.3063063063063063,68,68,0,1.0,34,222,0.15315315315315314,34,34,0,1.0,67,0.30180180180180183,14,0.06306306306306306,3,0.013513513513513514,adverseMeanRatioMax:FAIL;adverseES95RatioMax:FAIL;precision1RatioMin:FAIL;precision2RatioMin:FAIL;absoluteStrictLabelCoverageGapMax:FAIL
