Arm,N,Fill,+3 Capture%,+5 Capture%,Paired買値改善mean%,MAE30 median%,WAIT median,Range retained median%
A,2155,1963,85.28252299605782,87.5,0.0,-1.2312622414990648,0.0,57.177303932714906
B,2155,1857,68.3311432325887,70.58823529411765,-0.021212345679132025,-1.152364993973587,10.0,53.963525478974915
C,2155,1857,69.7766097240473,71.56862745098039,-0.012488986296101961,-1.1667350682200706,10.0,53.804429311253784
F,2155,1857,67.54270696452036,70.58823529411765,-0.014940460609405844,-1.1423250123572037,10.0,53.8615311406351
