cohort,N,policy,meanBuyImprovementPct,medianBuyImprovementPct,p10,p25,p75,p90,cheaperRate,dearerRate,D5,D10,D15,D30,D30p95,D30ES95,D30worst,remaining30,common60Remaining,lostUpsidePP,capture1,capture2,capture3,capture5
ALL,878,IMMEDIATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0615995941621994,1.4426552045995915,1.7305428400320295,2.1258360607850686,6.432555141391779,10.455921812695365,35.29411764705882,2.2525995616540233,2.752235025073414,0.0,1.0,1.0,1.0,1.0
ALL,878,WAIT5,-0.02869603856789208,0.0,-1.7801587301587207,-0.7142978046344728,0.6279481132075465,1.632541206771326,0.40660592255125283,0.42255125284738043,0.947982099232563,1.4064630265464415,1.6350287314275422,2.044900215929489,5.741356107660459,9.504784436319353,35.29411764705882,2.0801011010529957,2.5054826535576034,0.2467523715158105,0.8181818181818182,0.7468671679197995,0.7191011235955056,0.6991869918699187
ALL,878,WAIT10,-0.035681507105427494,0.0,-2.1884057971014537,-0.9054043738788653,0.8731027712753942,2.16459865541669,0.43507972665148065,0.42596810933940776,0.9678305223735558,1.3564560095256593,1.5514818948501672,1.9780305082612206,5.989378880258357,9.22311014507131,31.25,2.0072252862695885,2.3421871667922733,0.4100478582811409,0.7202797202797203,0.656641604010025,0.6292134831460674,0.6341463414634146
ALL,878,DIP_CLOSE_FALLBACK10,-0.016186218326136453,0.0,-2.1388809302103584,-0.7866838251064712,0.8602163779779709,1.8936713836477996,0.4920273348519362,0.3804100227790433,0.9648956987280597,1.3541468895122852,1.5543351375106282,1.9834788176830624,5.989378880258357,9.112159959366442,31.25,2.0542464287413185,2.421489868831614,0.3307451562417999,0.743006993006993,0.681704260651629,0.651685393258427,0.6341463414634146
ALL,878,OBSERVE5_DELAY_DIP10,-0.04819132734718312,0.0,-1.8607443673573631,-0.8097165991902855,0.5992759676970216,1.825213460572585,0.34965831435079725,0.46810933940774485,0.9509169228780591,1.4087721465598153,1.6321754887670812,2.039451906507647,5.795399390716169,9.619995128749974,35.29411764705882,2.0330799585812653,2.4261799515182627,0.32605507355515145,0.7954545454545454,0.7218045112781954,0.6966292134831461,0.6991869918699187
COMMON60_NON1_OBSERVED,306,IMMEDIATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7351198834570987,2.332267755622404,2.7765224539140947,3.313029817908939,9.140152405457897,13.888500195246715,35.29411764705882,0.34426115884574,0.3846233057874823,0.0,,,,
COMMON60_NON1_OBSERVED,306,WAIT5,1.0797887118684855,0.5518871372529877,-0.09630951492095585,0.0,1.3385698164756183,2.5963180442793385,0.696078431372549,0.11764705882352941,0.9983027954329134,1.5928133140585576,1.8692488748862814,2.427271256457516,6.6812015503875966,10.79354868518888,35.29411764705882,1.016757794915439,1.1025475346247235,-0.7179242288372414,,,,
COMMON60_NON1_OBSERVED,306,WAIT10,1.3797479210204835,0.7490741779822729,0.0,0.0,1.8140868140868154,3.704136870948338,0.7450980392156863,0.09803921568627451,1.016310223798187,1.4348418106062604,1.6679263127503037,2.155341975694739,6.171179525222545,10.555988956185075,31.25,1.1353740447986977,1.2413522769527268,-0.8567289711652445,,,,
COMMON60_NON1_OBSERVED,306,DIP_CLOSE_FALLBACK10,1.2905955487410041,0.7278552600871402,0.0,0.20175044509892215,1.5719194598504989,3.0455862977602166,0.7973856209150327,0.07516339869281045,1.0277499311156297,1.4527025480631877,1.6808276832250246,2.240736279221917,6.393090338044463,10.633519851739482,31.25,1.1601805876554507,1.26696187496941,-0.8823385691819279,,,,
COMMON60_NON1_OBSERVED,306,OBSERVE5_DELAY_DIP10,1.1689410841479648,0.514821833216278,-0.1882182907086971,0.0,1.5238440837641865,3.2892025551205464,0.6437908496732027,0.14052287581699346,0.9868630881154705,1.5749525766016301,1.8563475044115607,2.341876952930338,6.393090338044463,10.749291458945986,35.29411764705882,0.9919512520586861,1.0769379366080403,-0.692314630820558,,,,
COMMON60_WINNER3,267,IMMEDIATE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7366907923821792,0.9989664347836149,1.1981944627454277,1.4761300818406986,5.1699854298203,7.915414173070086,12.857142857142856,5.102128765427207,6.458859926672238,0.0,1.0,1.0,1.0,1.0
COMMON60_WINNER3,267,WAIT5,-1.1338035268206261,-0.7807417046193921,-3.4181452962838987,-1.897475461831899,0.0,0.8286453839516851,0.20973782771535582,0.6292134831460674,1.12950722902394,1.5836194840053328,1.764951942398912,2.0526292146115312,6.926935940313861,10.391537668782878,16.43835616438356,4.109834736811373,5.180250354936381,1.2786095717358568,0.9400749063670412,0.8689138576779026,0.7191011235955056,0.6991869918699187
