arm,name,opportunities,fills,capture3Pct,capture5Pct,pairedPriceMedianPct,pairedN,delayMedian,rangeRetentionMedianPct
A,Immediate + retry,2155,1963,85.28252299605782,87.5,0.0,1963,0.0,57.177303932714906
B,Continuation,2155,1857,67.67411300919842,70.58823529411765,0.0,1857,10.0,53.77824968180372
C,Breakout / expansion,2155,1857,69.25098554533508,71.56862745098039,0.0,1857,10.0,53.623427466479434
D,Pullback / recovery,2155,1857,70.43363994743758,72.54901960784314,0.0,1857,10.0,53.986298928001915
E,State-aware combination,2155,1857,70.9592641261498,73.2843137254902,0.0,1857,10.0,53.58653013284721
F,Fallback at 10m,2155,1857,67.54270696452036,70.58823529411765,0.0,1857,10.0,53.8615311406351
